  0.00000000E+00 -0.21768625E+01
  0.28836676E-02 -0.21762352E+01
  0.57673351E-02 -0.21743549E+01
  0.86510027E-02 -0.21712262E+01
  0.11534670E-01 -0.21668565E+01
  0.14418338E-01 -0.21612565E+01
  0.17302005E-01 -0.21544397E+01
  0.20185673E-01 -0.21464225E+01
  0.23069341E-01 -0.21372242E+01
  0.25953008E-01 -0.21268668E+01
  0.28836676E-01 -0.21153752E+01
  0.31720343E-01 -0.21027768E+01
  0.34604011E-01 -0.20891016E+01
  0.37487678E-01 -0.20743819E+01
  0.40371346E-01 -0.20586526E+01
  0.43255014E-01 -0.20419505E+01
  0.46138681E-01 -0.20243148E+01
  0.49022349E-01 -0.20057865E+01
  0.51906016E-01 -0.19864085E+01
  0.54789684E-01 -0.19662253E+01
  0.57673351E-01 -0.19452830E+01
  0.60557019E-01 -0.19236291E+01
  0.63440686E-01 -0.19013125E+01
  0.66324354E-01 -0.18783829E+01
  0.69208022E-01 -0.18548911E+01
  0.72091689E-01 -0.18308886E+01
  0.74975357E-01 -0.18064276E+01
  0.77859024E-01 -0.17815606E+01
  0.80742692E-01 -0.17563405E+01
  0.83626359E-01 -0.17308201E+01
  0.86510027E-01 -0.17050524E+01
  0.89393695E-01 -0.16790901E+01
  0.92277362E-01 -0.16529854E+01
  0.95161030E-01 -0.16267901E+01
  0.98044697E-01 -0.16005552E+01
  0.10092836E+00 -0.15743309E+01
  0.10381203E+00 -0.15481666E+01
  0.10669570E+00 -0.15221102E+01
  0.10957937E+00 -0.14962086E+01
  0.11246304E+00 -0.14705073E+01
  0.11534670E+00 -0.14450502E+01
  0.11823037E+00 -0.14198797E+01
  0.12111404E+00 -0.13950362E+01
  0.12399771E+00 -0.13705586E+01
  0.12688137E+00 -0.13464835E+01
  0.12976504E+00 -0.13228459E+01
  0.13264871E+00 -0.12996783E+01
  0.13553238E+00 -0.12770113E+01
  0.13841604E+00 -0.12548732E+01
  0.14129971E+00 -0.12332900E+01
  0.14418338E+00 -0.12122855E+01
  0.14706705E+00 -0.11918809E+01
  0.14995071E+00 -0.11720952E+01
  0.15283438E+00 -0.11529452E+01
  0.15571805E+00 -0.11344450E+01
  0.15860172E+00 -0.11166064E+01
  0.16148538E+00 -0.10994390E+01
  0.16436905E+00 -0.10829499E+01
  0.16725272E+00 -0.10671439E+01
  0.17013639E+00 -0.10520236E+01
  0.17302005E+00 -0.10375894E+01
  0.17590372E+00 -0.10238395E+01
